id;comments;ru;en
_leader_score_to_wheel;;{{score}} ОЧКОВ НА БАРАБАНЕ. ;
_leader_to_player_catch_sector;;ЖЕЛАЕШЬ ПОСТАВИТЬ ПРЕДМЕТ?;
_leader_symbol;;БУКВА;
_leader_your_skip_move;;{{name}}, ТЫ ПРОПУСКАЕШЬ ХОД!;
_leader_error_blocking_keyboard;;ПОЧЕМУ ТЫ ВСЁ ЕЩЁ ХОДИШЬ? ВИДИМО, МОЙ СОЗДАТЕЛЬ ДОПУСТИЛ ОШИБКУ, НУ ЛАДНО, ХОДИ.;
_leader_player_to_opponent_catch;;{{name}} ПОПАДАЕТ В СЕКТОР ИГРОКА {{name_player_artifact}} И ПЛАТИТ {{score}} ОЧКОВ! ВОТ ЭТО ДОСАДА!;
_leader_player_to_opponent_trap;;{{name}}  ПОПАДАЕТ В БОЛЬШОЙ Ловушка ИГРОКА {{name_player_artifact}}, ПЛАТИТ {{score}} ОЧКОВ И ПРОПУСКАЕТ ХОД! ЭТО ТРАГЕДИЯ!;
_leader_player_to_opponent_big_trap;;{{name}}  ПОПАДАЕТ В Ловушка ИГРОКА {{name_player_artifact}}, ПЛАТИТ {{score}} ОЧКОВ! ВОТ ЭТО ДОСАДА! КАКОЙ НАКАЛ ИГРЫ!;
_leader_player_confirm_obereg_for_skipping;;{{name}} ИСПОЛЬЗУЕТ ОБЕРЕГ И НЕ ТЕРЯЕТ ХОД!;
_leader_player_confirm_obereg_for_bankrupt;;{{name}} ИСПОЛЬЗУЕТ ОБЕРЕГ И СОХРАНЯЕТ СВОИ ОЧКИ!;
_leader_player_confirm_obereg_for_trap;;{{name}} ИСПОЛЬЗУЕТ ОБЕРЕГ И ВЫСВОБОЖДАЕТСЯ ОТ ЛовушкаА {{name_player_artifact}}!;
_leader_have_winner_you_winner;;И У НАС ЕСТЬ ПОБЕДИТЕЛЬ! {{name}}, ТЫ ПОБЕДИЛ!;
_leader_have_winner_last_player;;ОСТАЛСЯ ОДИН ИГРОК, А ЗНАЧИТ ПЕРЕД НАМИ ПОБЕДИТЕЛЬ!;
_leader_game_over_compliment_winner;;{{name}}, ПОЗДРАВЛЯЮ ТЕБЯ! СЕГОДНЯ ТЫ УХОДИШЬ ОТ НАС ПОБЕДИТЕЛЕМ!;
_leader_game_over_goodbye_ower_gamers;;С ОСТАЛЬНЫМИ ИГРОКАМИ Я ПРОЩАЮСЬ ДО СЛЕДУЮЩЕЙ ИГРЫ! ПОКА!;
_leader_success_symbol;;ОТКРОЙТЕ БУКВУ {{symbol}}!;
_leader_success_word;;И ЭТО ПРАВИЛЬНЫЙ ОТВЕТ!;
_leader_score_to_player;;ДЕРЖИ {{score}} ОЧКОВ!;
_leader_fail_symbol;;НЕПРАВИЛЬНО! НЕТ ТАКОЙ БУКВЫ!;
_leader_fail_word;;Неправильное слово!;
_leader_player_answer_word;;{{name}} называет слово  - {{word}}!;
_leader_sector_bankropt;;СЕКТОР БАНКРОТ! {{name}}, ЗАБИРАЮ ВСЕ ТВОИ ОЧКИ!;
_leader_sector_bankropt_keyboard;;ОТЫГРАЕШЬСЯ В СЛЕДУЮЩЕМ РАУНДЕ.;
_leader_sector_open_symbol;;{{name}}, ОТКРОЙ ЛЮБУЮ БУКВУ НА ТАБЛО!;
_leader_sector_open_symbol_keyboard;;ТЫ ЖЕ ВРОДЕ УЖЕ ОТКРЫЛ БУКВУ? ВИДИМО, МОЙ СОЗДАТЕЛЬ ДОПУСТИЛ ОШИБКУ, НУ ЛАДНО, ОТВЕЧАЙ.;
_leader_sector_x2;;СЕКТОР УДВОЕНИЕ ОЧКОВ! ДЕРЖИ {{score}} ОЧКОВ!;
_leader_sector_x2_no_score;;СЕКТОР УДВОЕНИЕ ОЧКОВ! НО У ТЕБЯ НЕТ ОЧКОВ! ДЕРЖИ {{score}} В КАЧЕСТВЕ ПОДАРКА!;
_leader_sector_x2_keyboard;;НАДЕЮСЬ, ТЫ ТАКОЙ ЖЕ УМНЫЙ, КАК И УДАЧЛИВЫЙ. ;
_obereg_reward;;ПОЛУЧИ ОБЕРЕГ ЗА ПРОСМОТР РЕКЛАМЫ.;
_obereg_skipping;;ИСПОЛЬЗУЙ ОБЕРЕГ, ЧТОБЫ <color=lime>НЕ ПРОПУСТИТЬ ХОД</color>.;
_obereg_bankrupt;;ИСПОЛЬЗУЙ ОБЕРЕГ, ЧТОБЫ НЕ ПОТЕРЯТЬ <color=yellow>{{score}} ОЧКОВ</color>.;
_obereg_trap_skip;;ИСПОЛЬЗУЙ ОБЕРЕГ, ЧТОБЫ ЗАЩИТИТЬСЯ ОТ ЛовушкаА, <color=lime>НЕ ПРОПУСТИТЬ ХОД</color> И СОХРАНИТЬ <color=yellow>{{score}} ОЧКОВ</color>.;
_obereg_trap_default;;ИСПОЛЬЗУЙ ОБЕРЕГ, ЧТОБЫ ЗАЩИТИТЬСЯ ОТ ЛовушкаА И СОХРАНИТЬ <color=yellow>{{score}} ОЧКОВ</color> .;
_player_use_obereg;;{{name}} ИСПОЛЬЗУЕТ ОБЕРЕГ;
_leader_prize_to_game_magazine;;ПОРА ПОТРАТИТЬ СВОЙ ВЫИГРЫШ В НАШЕМ МАГАЗИНЕ ПРИЗОВ!;
_leader_up_score_reward;;УВЕЛИЧИМ ТВОЙ ВЫИГРЫШ?;
_leader_victory_to_next_game;;НАСЛАЖДАЙСЯ ПОБЕДОЙ! БУДУ ЖДАТЬ ТЕБЯ НА СЛЕДУЮЩЕЙ ИГРЕ!;
_leader_victory_complexity_all_company;;ПОБЕДА! ТЫ ПРОШЁЛ ВСЮ КОМПАНИЮ! ПРОЙДЁМ ДРУГУЮ?;
_tablo_up_level_points_characteristics;;НОВЫЙ УРОВЕНЬ! ПОТРАТЬ ОЧКИ УЛУЧШЕНИЙ!;
_tablo_you_fails_refresh_game;;ТЫ ПРОИГРАЛ. ПОПРОБУЕМ ЕЩЁ РАЗ?;
_tablo_continue_game;;Продолжить играть?;
_leader_drop_player;;{{name}} ВЫБЫВАЕТ ИЗ ИГРЫ! ПРОЩАЙ!;
_character_trap;;Любит Ловушкаы;
_character_catch;;Любит захваты секторов;
_character_bank;;Любит копить очки;
_character_accuracy;;Развивается;
_character_default;;Обычный;
_artifact_description_mini_trap_1;;Наступивший пропускает ход, +1000 за наступившего.;
_artifact_description_mini_trap_2;;Наступивший пропускает ход, +1500 за наступившего.;
_artifact_description_mini_trap_3;;Наступивший пропускает ход, +2000 за наступившего.;
_artifact_description_mini_catch_1;;Захватит 7 секторов, +50 за наступившего.;
_artifact_description_mini_catch_2;;Захватит 7 секторов, +75 за наступившего.;
_artifact_description_mini_catch_3;;Захватит 7 секторов, +100 за наступившего.;
_artifact_description_mini_bank_1;;+50 за каждое вращение барабана.;
_artifact_description_mini_accuracy_1;;Точность прицела в 2 раза выше.;
_artifact_description_mini_accuracy_2;;Максимальная точность прицела;
_artifact_description_mini_speed_caret_1;;Прицел двигается в 2 раза медленнее.;
_artifact_description_mini_speed_caret_2;;Максимальное замедление прицела;
_artifact_description_mini_try_1;;Защищает от потери очков и пропуска хода.;
_artifact_description_mini_delivery;;Новый завоз товаров в магазин.;
_artifact_description_mini_clear_characteristics;;Переназначает очки за улучшения. ;
_artifact_description_mini_xp_1;;Даёт +200 опыта.;
_type_bank;;+Очки;
_type_accuracy;;+Точность;
_type_speed_caret;;+Реакция;
_type_catch;;Захват;
_type_trap;;Ловушка;
_add_shop_type_bank;;Газировка;
_add_shop_type_accuracy;;Гиря;
_add_shop_type_speed_caret;;Шампанское;
_add_shop_type_catch;;Сувенир;
_add_shop_type_trap;;Ловушка;
_add_shop_type_shop;;Опыт;
_add_shop_type_try;;Оберег;
_study_hello_1;;Привет! Я расскажу тебе про игру! Отключить мои подсказки можно в {blue}настройках{/}!;
_study_game_1;;Главная цель игры - крутить барабан, выбить побольше очков и отгадать слово.;
_study_keyboard_1;;Цель игры - {green}отгадать слово по буквам{/}. За правильные ответы, ты получишь очки и продолжишь ход.;
_study_keyboard_2;;Если не знаешь ответ, выбирай любую, постепенно догадаешься. {green}нажми на букву, я подскажу{/}!;
_study_stars_1;;{green}Выполняй задания{/} и получай {yellow}звёзды{/}. За них тебе дадут {blue}опыт{/} и {yellow}золото{/}.;
_study_stars_2;;Чем {green}выше сложность{/}, тем {green}выше награда{/}. Чтобы открыть задания, {green}нажми на них{/}.;
_study_aim_1;;Перед ответом нужно {green}вращать барабан{/}. Зеленая область - {green}прицел{/}.;
_study_aim_2;;Целься в сектора с большим количеством очков. ;
_study_aim_3;;{green}Зелёные сектора{/} удвоят твои очки или откроют любую букву.;
_study_aim_4;;{red}Красные сектора{/} могут лишить очков или хода. {green}Избегай их{/}{green} и Крути барабан!{/};
_study_sector_trap_1;;Противник установил {red}Ловушка{/}. Если ты попадёшь в него, отдашь ему очки и пропустишь ход.;
_study_sector_catch_1;;Противник установил {red}Сувенир{/}. Если наступишь на него или рядом, отдашь немного очков.;
_study_catch_1;;Предметы на барабане {blue}улучшают прицел, мешают соперникам, дают больше очков{/}.;
_study_accuracy_1;;Поставь {green}Гирю{/}, {blue}она сделает твой прицел точнее{/}!;
_study_speed_caret_1;;Поставь {green}Шампанское{/}, {blue}оно замедляет скорость прицела{/}.;
_study_bank_1;;Поставь {green}Газировку{/}, {blue}она даёт очки за вращение барабана, даже если ходят соперники{/}.;
_study_artifact_catch_1;;Поставь {green}Сувенир{/}, {blue}он захватывает соседние сектора{/}, если на них наступит соперник - {blue}получишь очки{/}.;
_study_artifact_trap_1;;Поставь {green}Ловушку{/}, когда соперник наступит на неё, он {blue}отдаст тебе свои очки и пропустит ход{/}!;
_study_obereg_1;;Используй {green}оберег{/}, чтобы не пропускать ход и сохранить очки! {blue}Купить Оберег{/} можно в {yellow}Магазине{/}.;
_study_shop_prizes_1;;{green}Купи призы{/} на выигранные очки . Призы можно коллекционировать или продать за {yellow}золото{/}.;
_study_shop_no_product_1;;{red}Товар закончился{/}. Новый товар завозят после каждой игры.;
_study_shop_no_product_2;;Держи {yellow}50 монет{/}. {green} Закажи платную доставку товаров{/}.;
_study_shop_no_gold_1;;У тебя закончились {yellow}монеты{/}. {green}Продай выигранные призы{/}, чтобы заработать {yellow}золото{/}.;
_study_shop_1;;Это {yellow}Магазин{/}. Покупай здесь {green}обереги и предметы для барабана{/}.;
_study_shop_2;;ДЕРЖИ {yellow}100 монет{/}, {green}купи себе Гирю{/}, чтобы точнее целиться!;
_study_inventary_1;;Здесь можно продать {green}призы{/}. Цена продажи зависит от {blue}Улучшений{/}.;
_study_inventary_2;;Держи несколько подарков от меня! {green}Продай их.{/};
_study_level_up_1;;Выигранные очки превращаются в {blue}опыт{/}, который заполняет {orange}кольцо{/} вокруг аватарки.;
_study_level_up_2;;При заполнении, ты получишь {blue}новый уровень и 1 очко улучшения{/}. {green}Улучши{/} {yellow}Продажу призов{/}.;
_study_reward_days_1;;Заходи каждый день и получай {green}подарки{/}! С каждым днём подарок удваивается!;
_study_company_1;;Выбери вопросы себе по душе!;
_study_shop_for_game_1;;Не забудь {green}закупиться{/}! Отключить напоминания про магазин можно в {blue}настройках{/}.;
_study_reward_visit_1;;{green}Держи подарок{/}! Заходи каждый день и получай в {blue}2 раза больше с каждым днём{/}!;
_title_reward_days;;ПОДАРОК ЗА {{days}} ДЕНЬ;
_type_quest_image;;С картинками;
_type_quest_music;;Угадай мелодию;
